Top city by university count,Doctorate to undergraduate ratio,學年度,學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,縣市名稱,體系別,女生比例(%)
30 臺北市 with 120 universities,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,112.0,1.0,國立政治大學,D 日,D 博士,921.0,517.0,404.0,86.0,69.0,78.0,60.0,82.0,69.0,74.0,67.0,63.0,52.0,68.0,37.0,66.0,50.0,0.0,0.0,30 臺北市,1 一般,43.865363735070574
,,112.0,1.0,國立政治大學,D 日,M 碩士,4231.0,1835.0,2396.0,598.0,809.0,631.0,791.0,354.0,460.0,249.0,335.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,56.629638383360906
,,112.0,1.0,國立政治大學,N 職,M 碩士,1903.0,938.0,965.0,262.0,304.0,289.0,287.0,204.0,225.0,106.0,92.0,77.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,50.709406200735685
,,112.0,1.0,國立政治大學,D 日,B 學士,9763.0,3928.0,5835.0,906.0,1349.0,871.0,1379.0,907.0,1341.0,928.0,1267.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,499.0,30 臺北市,1 一般,59.766465225852706
,,112.0,2.0,國立清華大學,D 日,D 博士,1636.0,1131.0,505.0,206.0,93.0,202.0,83.0,204.0,93.0,154.0,70.0,140.0,60.0,110.0,50.0,115.0,56.0,0.0,0.0,18 新竹市,1 一般,30.8679706601467
,,112.0,2.0,國立清華大學,D 日,M 碩士,5867.0,3526.0,2341.0,1336.0,886.0,1357.0,796.0,581.0,402.0,246.0,239.0,4.0,15.0,2.0,3.0,0.0,0.0,0.0,0.0,18 新竹市,1 一般,39.901141980569285
,,112.0,2.0,國立清華大學,N 職,M 碩士,1413.0,509.0,904.0,198.0,278.0,176.0,274.0,63.0,132.0,35.0,91.0,25.0,84.0,4.0,17.0,8.0,28.0,0.0,0.0,18 新竹市,1 一般,63.977353149327676
,,112.0,2.0,國立清華大學,D 日,B 學士,9274.0,5038.0,4236.0,1217.0,1019.0,1216.0,1030.0,1224.0,975.0,1085.0,991.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,221.0,18 新竹市,1 一般,45.67608367478974
,,112.0,2.0,國立清華大學,D 日,X 4+X,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,1 一般,0.0
,,112.0,3.0,國立臺灣大學,D 日,D 博士,3654.0,2454.0,1200.0,431.0,215.0,402.0,206.0,432.0,223.0,389.0,190.0,309.0,128.0,179.0,106.0,312.0,132.0,0.0,0.0,30 臺北市,1 一般,32.84072249589491
,,112.0,3.0,國立臺灣大學,D 日,M 碩士,11328.0,6742.0,4586.0,2598.0,1747.0,2505.0,1687.0,1075.0,707.0,564.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,40.48375706214689
,,112.0,3.0,國立臺灣大學,N 職,M 碩士,1577.0,948.0,629.0,309.0,229.0,300.0,219.0,160.0,82.0,70.0,38.0,45.0,32.0,64.0,29.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,39.8858592263792
,,112.0,3.0,國立臺灣大學,D 日,B 學士,17323.0,9652.0,7671.0,2191.0,1706.0,2199.0,1783.0,2138.0,1663.0,1976.0,1649.0,175.0,144.0,172.0,93.0,0.0,0.0,801.0,633.0,30 臺北市,1 一般,44.282168215667035
,,112.0,4.0,國立臺灣師範大學,D 日,D 博士,1337.0,630.0,707.0,106.0,127.0,109.0,111.0,110.0,106.0,74.0,106.0,85.0,83.0,59.0,85.0,87.0,89.0,0.0,0.0,30 臺北市,3 師範,52.879581151832454
,,112.0,4.0,國立臺灣師範大學,D 日,M 碩士,4384.0,1878.0,2506.0,628.0,826.0,629.0,763.0,364.0,572.0,257.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,3 師範,57.162408759124084
,,112.0,4.0,國立臺灣師範大學,N 職,M 碩士,2272.0,680.0,1592.0,222.0,518.0,219.0,460.0,87.0,263.0,75.0,186.0,48.0,102.0,29.0,63.0,0.0,0.0,0.0,0.0,30 臺北市,3 師範,70.07042253521126
,,112.0,4.0,國立臺灣師範大學,D 日,B 學士,8503.0,3846.0,4657.0,938.0,1110.0,900.0,1084.0,895.0,1073.0,809.0,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,338.0,30 臺北市,3 師範,54.76890509232035
,,112.0,5.0,國立成功大學,D 日,D 博士,1888.0,1228.0,660.0,219.0,136.0,199.0,102.0,221.0,123.0,196.0,110.0,176.0,84.0,107.0,57.0,110.0,48.0,0.0,0.0,21 臺南市,1 一般,34.95762711864407
,,112.0,5.0,國立成功大學,D 日,M 碩士,7453.0,4739.0,2714.0,2009.0,1149.0,1931.0,1053.0,605.0,377.0,188.0,130.0,6.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,21 臺南市,1 一般,36.41486649671273
,,112.0,5.0,國立成功大學,N 職,M 碩士,1582.0,932.0,650.0,279.0,240.0,274.0,212.0,209.0,122.0,106.0,44.0,63.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,21 臺南市,1 一般,41.08723135271808
,,112.0,5.0,國立成功大學,D 日,B 學士,12159.0,7451.0,4708.0,1703.0,1165.0,1779.0,1105.0,1766.0,1064.0,1588.0,1029.0,112.0,84.0,62.0,34.0,0.0,0.0,441.0,227.0,21 臺南市,1 一般,38.72028949749157
,,112.0,6.0,國立中興大學,D 日,D 博士,1000.0,652.0,348.0,96.0,59.0,101.0,56.0,108.0,65.0,99.0,40.0,84.0,43.0,70.0,33.0,94.0,52.0,0.0,0.0,19 臺中市,1 一般,34.8
,,112.0,6.0,國立中興大學,D 日,M 碩士,3797.0,2242.0,1555.0,929.0,660.0,926.0,610.0,277.0,194.0,108.0,85.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19 臺中市,1 一般,40.953384250724255
,,112.0,6.0,國立中興大學,N 職,M 碩士,1794.0,1143.0,651.0,401.0,244.0,343.0,229.0,203.0,78.0,103.0,57.0,93.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,19 臺中市,1 一般,36.2876254180602
